,LeavePct,Administrative Occupations: Gvrnmnt and Related Orgs
Darlington,56.18,1107
Northumberland,54.11,3067
Sunderland,61.34,4285
Manchester,39.64,2281
Blackburn with Darwen,56.34,803
Blackpool,67.46,2635
Warrington,54.27,483
Cheshire East,51.18,1405
Cheshire West and Chester,50.68,1118
Liverpool,41.81,3211
Sefton,48.13,3731
Wirral,48.3,4217
"Kingston upon Hull, City of",67.62,1781
East Riding of Yorkshire,60.4,1951
York,41.96,528
Sheffield,50.99,2702
Bradford,54.23,3973
Leeds,49.69,3900
Wakefield,66.36,1829
Derby,57.22,741
Nottingham,50.84,1744
Leicester,48.92,2901
"Herefordshire, County of",59.22,795
Telford and Wrekin,63.22,1562
Stoke-on-Trent,69.36,1100
Birmingham,50.42,3433
Solihull,56.16,1002
Coventry,55.6,1348
Dudley,67.6,2774
Sandwell,66.72,2165
Walsall,67.86,1350
Wolverhampton,62.57,1319
Luton,56.55,1447
Bedford,51.78,0
Central Bedfordshire,56.13,869
Southend-on-Sea,58.08,996
Thurrock,72.28,675
Westminster,31.03,2592
Wandsworth,24.97,0
Tower Hamlets,32.54,1989
Lambeth,21.38,0
Enfield,44.18,0
Bromley,49.35,1815
Croydon,45.71,3416
Barnet,37.77,2502
Brent,40.26,1786
Ealing,39.6,0
Milton Keynes,51.41,1148
Brighton and Hove,31.38,1387
Portsmouth,58.08,1493
Southampton,53.8,602
Isle of Wight,61.95,716
Medway,64.08,2706
"Bristol, City of",38.27,2108
Swindon,54.66,548
Wiltshire,52.49,2481
Plymouth,59.94,2050
Torbay,63.16,759
Isle of Anglesey,50.94,371
Gwynedd,41.95,493
Swansea,51.51,4828
Powys,53.74,612
Scottish Borders,41.53,373
Falkirk,43.24,2157
West Lothian,41.75,1633
Glasgow City,33.41,3049
North Lanarkshire,38.34,5292
South Ayrshire,41.04,434
South Lanarkshire,36.92,5352
Orkney Islands,36.84,244
Shetland Islands,43.49,0
