,LeavePct,"Architects, Town Planners and Surveyors"
Darlington,56.18,380
Northumberland,54.11,992
Sunderland,61.34,0
Manchester,39.64,913
Blackburn with Darwen,56.34,0
Blackpool,67.46,0
Warrington,54.27,989
Cheshire East,51.18,0
Cheshire West and Chester,50.68,1951
Liverpool,41.81,0
Sefton,48.13,546
Wirral,48.3,1659
"Kingston upon Hull, City of",67.62,0
East Riding of Yorkshire,60.4,1244
York,41.96,656
Sheffield,50.99,2170
Bradford,54.23,933
Leeds,49.69,4633
Wakefield,66.36,865
Derby,57.22,1026
Nottingham,50.84,0
Leicester,48.92,925
"Herefordshire, County of",59.22,523
Telford and Wrekin,63.22,703
Stoke-on-Trent,69.36,0
Birmingham,50.42,1792
Solihull,56.16,1069
Coventry,55.6,0
Dudley,67.6,999
Sandwell,66.72,568
Walsall,67.86,476
Wolverhampton,62.57,763
Luton,56.55,442
Bedford,51.78,0
Central Bedfordshire,56.13,2305
Southend-on-Sea,58.08,753
Thurrock,72.28,477
Westminster,31.03,0
Wandsworth,24.97,3451
Tower Hamlets,32.54,1283
Lambeth,21.38,2003
Enfield,44.18,1738
Bromley,49.35,1998
Croydon,45.71,2070
Barnet,37.77,3350
Brent,40.26,1626
Ealing,39.6,1135
Milton Keynes,51.41,1391
Brighton and Hove,31.38,1759
Portsmouth,58.08,525
Southampton,53.8,0
Isle of Wight,61.95,160
Medway,64.08,1041
"Bristol, City of",38.27,1976
Swindon,54.66,810
Wiltshire,52.49,1122
Plymouth,59.94,824
Torbay,63.16,0
Isle of Anglesey,50.94,284
Gwynedd,41.95,244
Swansea,51.51,733
Powys,53.74,242
Scottish Borders,41.53,752
Falkirk,43.24,440
West Lothian,41.75,1131
Glasgow City,33.41,3153
North Lanarkshire,38.34,1152
South Ayrshire,41.04,593
South Lanarkshire,36.92,0
Orkney Islands,36.84,0
Shetland Islands,43.49,0
