,LeavePct,"Artistic, Literary and Media Occupations"
Darlington,56.18,609
Northumberland,54.11,1086
Sunderland,61.34,0
Manchester,39.64,2114
Blackburn with Darwen,56.34,271
Blackpool,67.46,538
Warrington,54.27,586
Cheshire East,51.18,4350
Cheshire West and Chester,50.68,0
Liverpool,41.81,1098
Sefton,48.13,1348
Wirral,48.3,1193
"Kingston upon Hull, City of",67.62,646
East Riding of Yorkshire,60.4,891
York,41.96,1021
Sheffield,50.99,1195
Bradford,54.23,1762
Leeds,49.69,3565
Wakefield,66.36,1398
Derby,57.22,639
Nottingham,50.84,3647
Leicester,48.92,0
"Herefordshire, County of",59.22,1220
Telford and Wrekin,63.22,727
Stoke-on-Trent,69.36,828
Birmingham,50.42,9171
Solihull,56.16,870
Coventry,55.6,2640
Dudley,67.6,1026
Sandwell,66.72,0
Walsall,67.86,800
Wolverhampton,62.57,611
Luton,56.55,736
Bedford,51.78,0
Central Bedfordshire,56.13,1889
Southend-on-Sea,58.08,1038
Thurrock,72.28,467
Westminster,31.03,5611
Wandsworth,24.97,6266
Tower Hamlets,32.54,4337
Lambeth,21.38,9904
Enfield,44.18,2680
Bromley,49.35,1924
Croydon,45.71,2433
Barnet,37.77,2674
Brent,40.26,3629
Ealing,39.6,8936
Milton Keynes,51.41,1022
Brighton and Hove,31.38,7282
Portsmouth,58.08,1113
Southampton,53.8,1400
Isle of Wight,61.95,1069
Medway,64.08,625
"Bristol, City of",38.27,7184
Swindon,54.66,1182
Wiltshire,52.49,758
Plymouth,59.94,743
Torbay,63.16,620
Isle of Anglesey,50.94,298
Gwynedd,41.95,720
Swansea,51.51,1334
Powys,53.74,973
Scottish Borders,41.53,409
Falkirk,43.24,451
West Lothian,41.75,0
Glasgow City,33.41,6193
North Lanarkshire,38.34,0
South Ayrshire,41.04,247
South Lanarkshire,36.92,0
Orkney Islands,36.84,0
Shetland Islands,43.49,0
