,LeavePct,"Business, Finance and Related Associate Professionals"
Darlington,56.18,661
Northumberland,54.11,2718
Sunderland,61.34,886
Manchester,39.64,5021
Blackburn with Darwen,56.34,913
Blackpool,67.46,586
Warrington,54.27,1856
Cheshire East,51.18,4294
Cheshire West and Chester,50.68,2479
Liverpool,41.81,4672
Sefton,48.13,3774
Wirral,48.3,2320
"Kingston upon Hull, City of",67.62,985
East Riding of Yorkshire,60.4,2569
York,41.96,2299
Sheffield,50.99,5832
Bradford,54.23,2617
Leeds,49.69,4810
Wakefield,66.36,2755
Derby,57.22,2349
Nottingham,50.84,3065
Leicester,48.92,2163
"Herefordshire, County of",59.22,1955
Telford and Wrekin,63.22,1963
Stoke-on-Trent,69.36,809
Birmingham,50.42,8212
Solihull,56.16,2695
Coventry,55.6,3217
Dudley,67.6,2192
Sandwell,66.72,4362
Walsall,67.86,1400
Wolverhampton,62.57,3180
Luton,56.55,1604
Bedford,51.78,1307
Central Bedfordshire,56.13,1685
Southend-on-Sea,58.08,3488
Thurrock,72.28,1395
Westminster,31.03,7540
Wandsworth,24.97,12341
Tower Hamlets,32.54,7652
Lambeth,21.38,8759
Enfield,44.18,3288
Bromley,49.35,11023
Croydon,45.71,3593
Barnet,37.77,4799
Brent,40.26,1958
Ealing,39.6,2786
Milton Keynes,51.41,3483
Brighton and Hove,31.38,4578
Portsmouth,58.08,1015
Southampton,53.8,1963
Isle of Wight,61.95,1147
Medway,64.08,3791
"Bristol, City of",38.27,7894
Swindon,54.66,3539
Wiltshire,52.49,5390
Plymouth,59.94,2418
Torbay,63.16,1077
Isle of Anglesey,50.94,274
Gwynedd,41.95,777
Swansea,51.51,1779
Powys,53.74,701
Scottish Borders,41.53,557
Falkirk,43.24,1994
West Lothian,41.75,2203
Glasgow City,33.41,4366
North Lanarkshire,38.34,3651
South Ayrshire,41.04,968
South Lanarkshire,36.92,3537
Orkney Islands,36.84,0
Shetland Islands,43.49,0
