,LeavePct,"Business, Research and Administrative Professionals"
Darlington,56.18,542
Northumberland,54.11,1623
Sunderland,61.34,558
Manchester,39.64,5839
Blackburn with Darwen,56.34,646
Blackpool,67.46,685
Warrington,54.27,2530
Cheshire East,51.18,5271
Cheshire West and Chester,50.68,3760
Liverpool,41.81,3194
Sefton,48.13,1844
Wirral,48.3,3007
"Kingston upon Hull, City of",67.62,783
East Riding of Yorkshire,60.4,2698
York,41.96,3055
Sheffield,50.99,4111
Bradford,54.23,2140
Leeds,49.69,8506
Wakefield,66.36,2276
Derby,57.22,1367
Nottingham,50.84,2509
Leicester,48.92,1188
"Herefordshire, County of",59.22,630
Telford and Wrekin,63.22,1085
Stoke-on-Trent,69.36,778
Birmingham,50.42,10529
Solihull,56.16,2389
Coventry,55.6,3092
Dudley,67.6,0
Sandwell,66.72,0
Walsall,67.86,1335
Wolverhampton,62.57,571
Luton,56.55,1133
Bedford,51.78,1381
Central Bedfordshire,56.13,3232
Southend-on-Sea,58.08,2454
Thurrock,72.28,1160
Westminster,31.03,7338
Wandsworth,24.97,11330
Tower Hamlets,32.54,8778
Lambeth,21.38,12893
Enfield,44.18,4584
Bromley,49.35,6265
Croydon,45.71,2714
Barnet,37.77,7177
Brent,40.26,1966
Ealing,39.6,5034
Milton Keynes,51.41,3913
Brighton and Hove,31.38,2720
Portsmouth,58.08,2192
Southampton,53.8,2300
Isle of Wight,61.95,251
Medway,64.08,2425
"Bristol, City of",38.27,5926
Swindon,54.66,2977
Wiltshire,52.49,5515
Plymouth,59.94,1949
Torbay,63.16,662
Isle of Anglesey,50.94,371
Gwynedd,41.95,763
Swansea,51.51,1536
Powys,53.74,914
Scottish Borders,41.53,866
Falkirk,43.24,1199
West Lothian,41.75,1423
Glasgow City,33.41,8174
North Lanarkshire,38.34,2060
South Ayrshire,41.04,883
South Lanarkshire,36.92,2190
Orkney Islands,36.84,0
Shetland Islands,43.49,0
