,LeavePct,Construction Operatives
Darlington,56.18,0
Northumberland,54.11,711
Sunderland,61.34,1809
Manchester,39.64,1905
Blackburn with Darwen,56.34,549
Blackpool,67.46,458
Warrington,54.27,0
Cheshire East,51.18,0
Cheshire West and Chester,50.68,0
Liverpool,41.81,984
Sefton,48.13,1692
Wirral,48.3,0
"Kingston upon Hull, City of",67.62,951
East Riding of Yorkshire,60.4,1993
York,41.96,324
Sheffield,50.99,3228
Bradford,54.23,2216
Leeds,49.69,2119
Wakefield,66.36,1280
Derby,57.22,0
Nottingham,50.84,1361
Leicester,48.92,0
"Herefordshire, County of",59.22,368
Telford and Wrekin,63.22,698
Stoke-on-Trent,69.36,0
Birmingham,50.42,3059
Solihull,56.16,462
Coventry,55.6,1473
Dudley,67.6,0
Sandwell,66.72,660
Walsall,67.86,508
Wolverhampton,62.57,0
Luton,56.55,0
Bedford,51.78,1200
Central Bedfordshire,56.13,1797
Southend-on-Sea,58.08,662
Thurrock,72.28,338
Westminster,31.03,0
Wandsworth,24.97,0
Tower Hamlets,32.54,0
Lambeth,21.38,0
Enfield,44.18,1471
Bromley,49.35,0
Croydon,45.71,0
Barnet,37.77,0
Brent,40.26,3072
Ealing,39.6,0
Milton Keynes,51.41,513
Brighton and Hove,31.38,0
Portsmouth,58.08,897
Southampton,53.8,2130
Isle of Wight,61.95,312
Medway,64.08,1630
"Bristol, City of",38.27,1343
Swindon,54.66,1098
Wiltshire,52.49,1362
Plymouth,59.94,883
Torbay,63.16,601
Isle of Anglesey,50.94,374
Gwynedd,41.95,426
Swansea,51.51,0
Powys,53.74,294
Scottish Borders,41.53,0
Falkirk,43.24,0
West Lothian,41.75,0
Glasgow City,33.41,0
North Lanarkshire,38.34,999
South Ayrshire,41.04,0
South Lanarkshire,36.92,0
Orkney Islands,36.84,0
Shetland Islands,43.49,0
