Area,Crime_Rates,LeavePct
Barking and Dagenham,70.89993219,62.44
Barnet,55.81442332,37.77
Bexley,45.60794247,62.95
Brent,70.78969335,40.26
Bromley,52.7487924,49.35
Camden,103.1354979,25.06
Croydon,67.42539968,45.71
Ealing,69.01012832,39.6
Enfield,58.54343005,44.18
Greenwich,71.5705268,44.41
Hackney,91.1540402,21.52
Hammersmith and Fulham,98.12751177,29.98
Haringey,85.81042984,24.43
Harrow,45.46295105,45.37
Havering,58.07352551,69.66
Hillingdon,63.46062928,56.37
Hounslow,71.32503992,48.94
Islington,99.86043416,24.78
Kensington and Chelsea,109.7839542,31.31
Kingston upon Thames,49.62324042,38.39
Lambeth,90.83894971,21.38
Lewisham,68.42086084,30.14
Merton,53.51925825,37.06
Newham,77.14867235,47.16
Redbridge,56.68523537,46.03
Richmond upon Thames,49.93719555,30.71
Southwark,87.88945895,27.19
Sutton,45.01038473,53.72
Tower Hamlets,85.30312871,32.54
Waltham Forest,64.88836041,40.9
Wandsworth,65.83126645,24.97
Westminster,171.2907994,31.03
