,LeavePct,Elementary Administration Occupations
Darlington,56.18,179
Northumberland,54.11,986
Sunderland,61.34,747
Manchester,39.64,1116
Blackburn with Darwen,56.34,492
Blackpool,67.46,330
Warrington,54.27,420
Cheshire East,51.18,1689
Cheshire West and Chester,50.68,0
Liverpool,41.81,1887
Sefton,48.13,753
Wirral,48.3,1104
"Kingston upon Hull, City of",67.62,736
East Riding of Yorkshire,60.4,954
York,41.96,1199
Sheffield,50.99,2075
Bradford,54.23,1492
Leeds,49.69,2539
Wakefield,66.36,543
Derby,57.22,690
Nottingham,50.84,1137
Leicester,48.92,815
"Herefordshire, County of",59.22,526
Telford and Wrekin,63.22,391
Stoke-on-Trent,69.36,897
Birmingham,50.42,2203
Solihull,56.16,533
Coventry,55.6,2163
Dudley,67.6,0
Sandwell,66.72,1285
Walsall,67.86,0
Wolverhampton,62.57,1700
Luton,56.55,1055
Bedford,51.78,0
Central Bedfordshire,56.13,1225
Southend-on-Sea,58.08,0
Thurrock,72.28,366
Westminster,31.03,0
Wandsworth,24.97,0
Tower Hamlets,32.54,1505
Lambeth,21.38,0
Enfield,44.18,1214
Bromley,49.35,1982
Croydon,45.71,1208
Barnet,37.77,0
Brent,40.26,892
Ealing,39.6,0
Milton Keynes,51.41,976
Brighton and Hove,31.38,965
Portsmouth,58.08,448
Southampton,53.8,1179
Isle of Wight,61.95,0
Medway,64.08,876
"Bristol, City of",38.27,1520
Swindon,54.66,1119
Wiltshire,52.49,946
Plymouth,59.94,509
Torbay,63.16,326
Isle of Anglesey,50.94,0
Gwynedd,41.95,411
Swansea,51.51,563
Powys,53.74,394
Scottish Borders,41.53,686
Falkirk,43.24,0
West Lothian,41.75,987
Glasgow City,33.41,0
North Lanarkshire,38.34,1184
South Ayrshire,41.04,474
South Lanarkshire,36.92,1261
Orkney Islands,36.84,432
Shetland Islands,43.49,0
