,LeavePct,Engineering Professionals
Darlington,56.18,774
Northumberland,54.11,1872
Sunderland,61.34,768
Manchester,39.64,2177
Blackburn with Darwen,56.34,548
Blackpool,67.46,947
Warrington,54.27,3958
Cheshire East,51.18,2710
Cheshire West and Chester,50.68,3480
Liverpool,41.81,3895
Sefton,48.13,935
Wirral,48.3,2312
"Kingston upon Hull, City of",67.62,1544
East Riding of Yorkshire,60.4,954
York,41.96,1759
Sheffield,50.99,4367
Bradford,54.23,1510
Leeds,49.69,2138
Wakefield,66.36,1470
Derby,57.22,4544
Nottingham,50.84,2469
Leicester,48.92,2644
"Herefordshire, County of",59.22,1504
Telford and Wrekin,63.22,1151
Stoke-on-Trent,69.36,1720
Birmingham,50.42,5174
Solihull,56.16,2966
Coventry,55.6,3242
Dudley,67.6,3053
Sandwell,66.72,2175
Walsall,67.86,421
Wolverhampton,62.57,0
Luton,56.55,1224
Bedford,51.78,1786
Central Bedfordshire,56.13,1125
Southend-on-Sea,58.08,842
Thurrock,72.28,625
Westminster,31.03,916
Wandsworth,24.97,1296
Tower Hamlets,32.54,2370
Lambeth,21.38,0
Enfield,44.18,1917
Bromley,49.35,1613
Croydon,45.71,3589
Barnet,37.77,2904
Brent,40.26,1508
Ealing,39.6,1598
Milton Keynes,51.41,1108
Brighton and Hove,31.38,2190
Portsmouth,58.08,1498
Southampton,53.8,1318
Isle of Wight,61.95,1162
Medway,64.08,1893
"Bristol, City of",38.27,3733
Swindon,54.66,1593
Wiltshire,52.49,7230
Plymouth,59.94,2241
Torbay,63.16,971
Isle of Anglesey,50.94,517
Gwynedd,41.95,560
Swansea,51.51,846
Powys,53.74,531
Scottish Borders,41.53,429
Falkirk,43.24,1631
West Lothian,41.75,1081
Glasgow City,33.41,4723
North Lanarkshire,38.34,1888
South Ayrshire,41.04,618
South Lanarkshire,36.92,2819
Orkney Islands,36.84,0
Shetland Islands,43.49,0
