,LeavePct,Food Preparation and Hospitality Trades
Darlington,56.18,474
Northumberland,54.11,2014
Sunderland,61.34,2078
Manchester,39.64,5880
Blackburn with Darwen,56.34,1180
Blackpool,67.46,1714
Warrington,54.27,1728
Cheshire East,51.18,2110
Cheshire West and Chester,50.68,2930
Liverpool,41.81,3220
Sefton,48.13,1362
Wirral,48.3,1316
"Kingston upon Hull, City of",67.62,2055
East Riding of Yorkshire,60.4,1516
York,41.96,2219
Sheffield,50.99,5869
Bradford,54.23,2582
Leeds,49.69,5893
Wakefield,66.36,1886
Derby,57.22,1884
Nottingham,50.84,2365
Leicester,48.92,2710
"Herefordshire, County of",59.22,1309
Telford and Wrekin,63.22,831
Stoke-on-Trent,69.36,1671
Birmingham,50.42,8327
Solihull,56.16,995
Coventry,55.6,2756
Dudley,67.6,2660
Sandwell,66.72,1934
Walsall,67.86,1400
Wolverhampton,62.57,2103
Luton,56.55,2087
Bedford,51.78,0
Central Bedfordshire,56.13,1340
Southend-on-Sea,58.08,2099
Thurrock,72.28,471
Westminster,31.03,2577
Wandsworth,24.97,2433
Tower Hamlets,32.54,4181
Lambeth,21.38,0
Enfield,44.18,2922
Bromley,49.35,2457
Croydon,45.71,2600
Barnet,37.77,2233
Brent,40.26,3272
Ealing,39.6,3932
Milton Keynes,51.41,2321
Brighton and Hove,31.38,1775
Portsmouth,58.08,2662
Southampton,53.8,962
Isle of Wight,61.95,1011
Medway,64.08,2264
"Bristol, City of",38.27,2623
Swindon,54.66,1535
Wiltshire,52.49,3212
Plymouth,59.94,2219
Torbay,63.16,916
Isle of Anglesey,50.94,1092
Gwynedd,41.95,1087
Swansea,51.51,1749
Powys,53.74,742
Scottish Borders,41.53,968
Falkirk,43.24,1133
West Lothian,41.75,1697
Glasgow City,33.41,6463
North Lanarkshire,38.34,2168
South Ayrshire,41.04,1038
South Lanarkshire,36.92,1914
Orkney Islands,36.84,0
Shetland Islands,43.49,0
