,LeavePct,Functional Managers and Directors
Darlington,56.18,895
Northumberland,54.11,2009
Sunderland,61.34,1593
Manchester,39.64,5644
Blackburn with Darwen,56.34,1100
Blackpool,67.46,904
Warrington,54.27,3834
Cheshire East,51.18,7715
Cheshire West and Chester,50.68,2973
Liverpool,41.81,3483
Sefton,48.13,4521
Wirral,48.3,3213
"Kingston upon Hull, City of",67.62,942
East Riding of Yorkshire,60.4,2448
York,41.96,3077
Sheffield,50.99,4855
Bradford,54.23,3735
Leeds,49.69,11683
Wakefield,66.36,2636
Derby,57.22,2103
Nottingham,50.84,1030
Leicester,48.92,2257
"Herefordshire, County of",59.22,2347
Telford and Wrekin,63.22,1186
Stoke-on-Trent,69.36,1593
Birmingham,50.42,5885
Solihull,56.16,4803
Coventry,55.6,2327
Dudley,67.6,2090
Sandwell,66.72,3524
Walsall,67.86,1132
Wolverhampton,62.57,1280
Luton,56.55,872
Bedford,51.78,3124
Central Bedfordshire,56.13,5968
Southend-on-Sea,58.08,2433
Thurrock,72.28,1752
Westminster,31.03,8896
Wandsworth,24.97,16678
Tower Hamlets,32.54,7320
Lambeth,21.38,5549
Enfield,44.18,4055
Bromley,49.35,6587
Croydon,45.71,5253
Barnet,37.77,9821
Brent,40.26,5431
Ealing,39.6,8885
Milton Keynes,51.41,3202
Brighton and Hove,31.38,6395
Portsmouth,58.08,1966
Southampton,53.8,1257
Isle of Wight,61.95,1318
Medway,64.08,3542
"Bristol, City of",38.27,5770
Swindon,54.66,2736
Wiltshire,52.49,8818
Plymouth,59.94,1652
Torbay,63.16,569
Isle of Anglesey,50.94,448
Gwynedd,41.95,568
Swansea,51.51,1863
Powys,53.74,1316
Scottish Borders,41.53,1673
Falkirk,43.24,2305
West Lothian,41.75,1792
Glasgow City,33.41,6879
North Lanarkshire,38.34,2723
South Ayrshire,41.04,834
South Lanarkshire,36.92,4408
