,LeavePct,Health Associate Professionals
Darlington,56.18,150
Northumberland,54.11,892
Sunderland,61.34,0
Manchester,39.64,1067
Blackburn with Darwen,56.34,424
Blackpool,67.46,567
Warrington,54.27,585
Cheshire East,51.18,1129
Cheshire West and Chester,50.68,0
Liverpool,41.81,907
Sefton,48.13,1226
Wirral,48.3,1294
"Kingston upon Hull, City of",67.62,494
East Riding of Yorkshire,60.4,714
York,41.96,795
Sheffield,50.99,1995
Bradford,54.23,0
Leeds,49.69,0
Wakefield,66.36,0
Derby,57.22,1451
Nottingham,50.84,512
Leicester,48.92,0
"Herefordshire, County of",59.22,523
Telford and Wrekin,63.22,380
Stoke-on-Trent,69.36,0
Birmingham,50.42,4468
Solihull,56.16,355
Coventry,55.6,777
Dudley,67.6,772
Sandwell,66.72,0
Walsall,67.86,583
Wolverhampton,62.57,0
Luton,56.55,372
Bedford,51.78,0
Central Bedfordshire,56.13,1362
Southend-on-Sea,58.08,0
Thurrock,72.28,0
Westminster,31.03,0
Wandsworth,24.97,0
Tower Hamlets,32.54,0
Lambeth,21.38,0
Enfield,44.18,0
Bromley,49.35,0
Croydon,45.71,0
Barnet,37.77,1382
Brent,40.26,0
Ealing,39.6,0
Milton Keynes,51.41,619
Brighton and Hove,31.38,1276
Portsmouth,58.08,763
Southampton,53.8,645
Isle of Wight,61.95,621
Medway,64.08,498
"Bristol, City of",38.27,2191
Swindon,54.66,0
Wiltshire,52.49,2085
Plymouth,59.94,599
Torbay,63.16,337
Isle of Anglesey,50.94,208
Gwynedd,41.95,0
Swansea,51.51,735
Powys,53.74,486
Scottish Borders,41.53,488
Falkirk,43.24,0
West Lothian,41.75,598
Glasgow City,33.41,1711
North Lanarkshire,38.34,714
South Ayrshire,41.04,554
South Lanarkshire,36.92,993
Orkney Islands,36.84,0
Shetland Islands,43.49,0
