,LeavePct,IT and Telecommunications Professionals
Darlington,56.18,860
Northumberland,54.11,4092
Sunderland,61.34,1202
Manchester,39.64,8429
Blackburn with Darwen,56.34,997
Blackpool,67.46,1483
Warrington,54.27,3382
Cheshire East,51.18,5270
Cheshire West and Chester,50.68,2730
Liverpool,41.81,7725
Sefton,48.13,3781
Wirral,48.3,4628
"Kingston upon Hull, City of",67.62,2160
East Riding of Yorkshire,60.4,2183
York,41.96,1913
Sheffield,50.99,6251
Bradford,54.23,6075
Leeds,49.69,9436
Wakefield,66.36,1473
Derby,57.22,4336
Nottingham,50.84,6025
Leicester,48.92,3934
"Herefordshire, County of",59.22,1531
Telford and Wrekin,63.22,1747
Stoke-on-Trent,69.36,829
Birmingham,50.42,9122
Solihull,56.16,3379
Coventry,55.6,4726
Dudley,67.6,1705
Sandwell,66.72,2951
Walsall,67.86,1863
Wolverhampton,62.57,1358
Luton,56.55,2305
Bedford,51.78,1945
Central Bedfordshire,56.13,6119
Southend-on-Sea,58.08,3590
Thurrock,72.28,1097
Westminster,31.03,4519
Wandsworth,24.97,8704
Tower Hamlets,32.54,10125
Lambeth,21.38,10110
Enfield,44.18,4459
Bromley,49.35,10498
Croydon,45.71,9486
Barnet,37.77,8437
Brent,40.26,4244
Ealing,39.6,6261
Milton Keynes,51.41,6469
Brighton and Hove,31.38,6869
Portsmouth,58.08,1876
Southampton,53.8,3733
Isle of Wight,61.95,994
Medway,64.08,3526
"Bristol, City of",38.27,10064
Swindon,54.66,3729
Wiltshire,52.49,7024
Plymouth,59.94,1594
Torbay,63.16,806
Isle of Anglesey,50.94,406
Gwynedd,41.95,346
Swansea,51.51,1281
Powys,53.74,463
Scottish Borders,41.53,1387
Falkirk,43.24,1169
West Lothian,41.75,3795
Glasgow City,33.41,4365
North Lanarkshire,38.34,1678
South Ayrshire,41.04,495
South Lanarkshire,36.92,2359
Orkney Islands,36.84,0
Shetland Islands,43.49,0
