,LeavePct,Information Technology Technicians
Darlington,56.18,352
Northumberland,54.11,0
Sunderland,61.34,0
Manchester,39.64,1647
Blackburn with Darwen,56.34,505
Blackpool,67.46,278
Warrington,54.27,1238
Cheshire East,51.18,0
Cheshire West and Chester,50.68,1565
Liverpool,41.81,795
Sefton,48.13,614
Wirral,48.3,1559
"Kingston upon Hull, City of",67.62,541
East Riding of Yorkshire,60.4,665
York,41.96,576
Sheffield,50.99,2214
Bradford,54.23,1288
Leeds,49.69,2034
Wakefield,66.36,781
Derby,57.22,876
Nottingham,50.84,1651
Leicester,48.92,1572
"Herefordshire, County of",59.22,264
Telford and Wrekin,63.22,705
Stoke-on-Trent,69.36,1098
Birmingham,50.42,2433
Solihull,56.16,547
Coventry,55.6,1423
Dudley,67.6,1512
Sandwell,66.72,1370
Walsall,67.86,0
Wolverhampton,62.57,0
Luton,56.55,1402
Bedford,51.78,0
Central Bedfordshire,56.13,0
Southend-on-Sea,58.08,0
Thurrock,72.28,905
Westminster,31.03,0
Wandsworth,24.97,0
Tower Hamlets,32.54,0
Lambeth,21.38,1349
Enfield,44.18,0
Bromley,49.35,1358
Croydon,45.71,0
Barnet,37.77,0
Brent,40.26,1068
Ealing,39.6,0
Milton Keynes,51.41,1245
Brighton and Hove,31.38,0
Portsmouth,58.08,642
Southampton,53.8,1071
Isle of Wight,61.95,0
Medway,64.08,1189
"Bristol, City of",38.27,1062
Swindon,54.66,1113
Wiltshire,52.49,1876
Plymouth,59.94,1215
Torbay,63.16,297
Isle of Anglesey,50.94,0
Gwynedd,41.95,0
Swansea,51.51,0
Powys,53.74,319
Scottish Borders,41.53,0
Falkirk,43.24,0
West Lothian,41.75,868
Glasgow City,33.41,4412
North Lanarkshire,38.34,0
South Ayrshire,41.04,296
South Lanarkshire,36.92,567
Orkney Islands,36.84,0
Shetland Islands,43.49,0
