,LeavePct,Legal Associate Professionals
Darlington,56.18,0
Northumberland,54.11,0
Sunderland,61.34,0
Manchester,39.64,0
Blackburn with Darwen,56.34,0
Blackpool,67.46,0
Warrington,54.27,0
Cheshire East,51.18,0
Cheshire West and Chester,50.68,1395
Liverpool,41.81,841
Sefton,48.13,1122
Wirral,48.3,0
"Kingston upon Hull, City of",67.62,0
East Riding of Yorkshire,60.4,0
York,41.96,711
Sheffield,50.99,0
Bradford,54.23,0
Leeds,49.69,1493
Wakefield,66.36,0
Derby,57.22,0
Nottingham,50.84,0
Leicester,48.92,0
"Herefordshire, County of",59.22,0
Telford and Wrekin,63.22,0
Stoke-on-Trent,69.36,0
Birmingham,50.42,0
Solihull,56.16,410
Coventry,55.6,0
Dudley,67.6,0
Sandwell,66.72,0
Walsall,67.86,0
Wolverhampton,62.57,0
Luton,56.55,0
Bedford,51.78,0
Central Bedfordshire,56.13,0
Southend-on-Sea,58.08,0
Thurrock,72.28,0
Westminster,31.03,0
Wandsworth,24.97,0
Tower Hamlets,32.54,1557
Lambeth,21.38,0
Enfield,44.18,0
Bromley,49.35,0
Croydon,45.71,0
Barnet,37.77,0
Brent,40.26,745
Ealing,39.6,0
Milton Keynes,51.41,0
Brighton and Hove,31.38,0
Portsmouth,58.08,0
Southampton,53.8,0
Isle of Wight,61.95,0
Medway,64.08,0
"Bristol, City of",38.27,1880
Swindon,54.66,0
Wiltshire,52.49,664
Plymouth,59.94,0
Torbay,63.16,0
Isle of Anglesey,50.94,0
Gwynedd,41.95,0
Swansea,51.51,407
Powys,53.74,0
Scottish Borders,41.53,0
Falkirk,43.24,0
West Lothian,41.75,341
Glasgow City,33.41,0
North Lanarkshire,38.34,0
South Ayrshire,41.04,0
South Lanarkshire,36.92,0
Orkney Islands,36.84,0
Shetland Islands,43.49,0
