,LeavePct,Legal Professionals
Darlington,56.18,161
Northumberland,54.11,644
Sunderland,61.34,0
Manchester,39.64,1816
Blackburn with Darwen,56.34,0
Blackpool,67.46,0
Warrington,54.27,408
Cheshire East,51.18,1388
Cheshire West and Chester,50.68,0
Liverpool,41.81,0
Sefton,48.13,1143
Wirral,48.3,1207
"Kingston upon Hull, City of",67.62,0
East Riding of Yorkshire,60.4,654
York,41.96,434
Sheffield,50.99,1502
Bradford,54.23,2046
Leeds,49.69,3643
Wakefield,66.36,0
Derby,57.22,0
Nottingham,50.84,742
Leicester,48.92,603
"Herefordshire, County of",59.22,250
Telford and Wrekin,63.22,333
Stoke-on-Trent,69.36,0
Birmingham,50.42,4394
Solihull,56.16,459
Coventry,55.6,0
Dudley,67.6,0
Sandwell,66.72,0
Walsall,67.86,0
Wolverhampton,62.57,479
Luton,56.55,0
Bedford,51.78,1003
Central Bedfordshire,56.13,0
Southend-on-Sea,58.08,462
Thurrock,72.28,0
Westminster,31.03,2792
Wandsworth,24.97,3708
Tower Hamlets,32.54,3589
Lambeth,21.38,3527
Enfield,44.18,0
Bromley,49.35,1903
Croydon,45.71,1714
Barnet,37.77,2557
Brent,40.26,2363
Ealing,39.6,0
Milton Keynes,51.41,0
Brighton and Hove,31.38,732
Portsmouth,58.08,0
Southampton,53.8,0
Isle of Wight,61.95,0
Medway,64.08,0
"Bristol, City of",38.27,5671
Swindon,54.66,0
Wiltshire,52.49,1142
Plymouth,59.94,427
Torbay,63.16,0
Isle of Anglesey,50.94,0
Gwynedd,41.95,0
Swansea,51.51,708
Powys,53.74,0
Scottish Borders,41.53,0
Falkirk,43.24,0
West Lothian,41.75,467
Glasgow City,33.41,2154
North Lanarkshire,38.34,0
South Ayrshire,41.04,391
South Lanarkshire,36.92,1650
Orkney Islands,36.84,0
Shetland Islands,43.49,0
