,LeavePct,Managers and Directors in Retail and Wholesale
Darlington,56.18,1013
Northumberland,54.11,2358
Sunderland,61.34,658
Manchester,39.64,2135
Blackburn with Darwen,56.34,240
Blackpool,67.46,594
Warrington,54.27,1934
Cheshire East,51.18,2232
Cheshire West and Chester,50.68,1420
Liverpool,41.81,0
Sefton,48.13,0
Wirral,48.3,2069
"Kingston upon Hull, City of",67.62,534
East Riding of Yorkshire,60.4,2432
York,41.96,1373
Sheffield,50.99,1552
Bradford,54.23,1504
Leeds,49.69,3468
Wakefield,66.36,1539
Derby,57.22,1443
Nottingham,50.84,917
Leicester,48.92,2134
"Herefordshire, County of",59.22,1913
Telford and Wrekin,63.22,1233
Stoke-on-Trent,69.36,1045
Birmingham,50.42,3979
Solihull,56.16,694
Coventry,55.6,1823
Dudley,67.6,1480
Sandwell,66.72,1957
Walsall,67.86,1179
Wolverhampton,62.57,839
Luton,56.55,1418
Bedford,51.78,807
Central Bedfordshire,56.13,0
Southend-on-Sea,58.08,1385
Thurrock,72.28,992
Westminster,31.03,693
Wandsworth,24.97,0
Tower Hamlets,32.54,1691
Lambeth,21.38,1951
Enfield,44.18,0
Bromley,49.35,0
Croydon,45.71,2580
Barnet,37.77,2527
Brent,40.26,925
Ealing,39.6,1443
Milton Keynes,51.41,1196
Brighton and Hove,31.38,1298
Portsmouth,58.08,1117
Southampton,53.8,522
Isle of Wight,61.95,610
Medway,64.08,1162
"Bristol, City of",38.27,0
Swindon,54.66,953
Wiltshire,52.49,2244
Plymouth,59.94,1213
Torbay,63.16,1454
Isle of Anglesey,50.94,321
Gwynedd,41.95,531
Swansea,51.51,1028
Powys,53.74,336
Scottish Borders,41.53,741
Falkirk,43.24,1455
West Lothian,41.75,1194
Glasgow City,33.41,0
North Lanarkshire,38.34,1487
South Ayrshire,41.04,989
South Lanarkshire,36.92,1873
Orkney Islands,36.84,0
Shetland Islands,43.49,0
