,LeavePct,Managers and Directors in Transport and Logistics
Darlington,56.18,348
Northumberland,54.11,0
Sunderland,61.34,574
Manchester,39.64,0
Blackburn with Darwen,56.34,244
Blackpool,67.46,0
Warrington,54.27,880
Cheshire East,51.18,2642
Cheshire West and Chester,50.68,1242
Liverpool,41.81,996
Sefton,48.13,1069
Wirral,48.3,1156
"Kingston upon Hull, City of",67.62,0
East Riding of Yorkshire,60.4,0
York,41.96,554
Sheffield,50.99,0
Bradford,54.23,1399
Leeds,49.69,2243
Wakefield,66.36,1890
Derby,57.22,0
Nottingham,50.84,1300
Leicester,48.92,810
"Herefordshire, County of",59.22,681
Telford and Wrekin,63.22,533
Stoke-on-Trent,69.36,649
Birmingham,50.42,4333
Solihull,56.16,471
Coventry,55.6,0
Dudley,67.6,0
Sandwell,66.72,754
Walsall,67.86,1076
Wolverhampton,62.57,701
Luton,56.55,424
Bedford,51.78,1570
Central Bedfordshire,56.13,1012
Southend-on-Sea,58.08,488
Thurrock,72.28,861
Westminster,31.03,0
Wandsworth,24.97,0
Tower Hamlets,32.54,0
Lambeth,21.38,0
Enfield,44.18,0
Bromley,49.35,0
Croydon,45.71,0
Barnet,37.77,1858
Brent,40.26,1453
Ealing,39.6,0
Milton Keynes,51.41,1457
Brighton and Hove,31.38,0
Portsmouth,58.08,758
Southampton,53.8,1369
Isle of Wight,61.95,0
Medway,64.08,889
"Bristol, City of",38.27,0
Swindon,54.66,660
Wiltshire,52.49,1561
Plymouth,59.94,0
Torbay,63.16,205
Isle of Anglesey,50.94,148
Gwynedd,41.95,0
Swansea,51.51,0
Powys,53.74,253
Scottish Borders,41.53,0
Falkirk,43.24,0
West Lothian,41.75,514
Glasgow City,33.41,0
North Lanarkshire,38.34,1656
South Ayrshire,41.04,248
South Lanarkshire,36.92,604
Orkney Islands,36.84,0
Shetland Islands,43.49,0
