Area,No_religion,LeavePct
Barking and Dagenham,13,62.44
Barnet,23.4,37.77
Bexley,25.6,62.95
Brent,14.9,40.26
Bromley,33.9,49.35
Camden,35.7,25.06
Croydon,27.8,45.71
Ealing,21.3,39.6
Enfield,22.2,44.18
Greenwich,32.9,44.41
Hackney,39.7,21.52
Hammersmith and Fulham,33.1,29.98
Haringey,33.9,24.43
Harrow,12.9,45.37
Havering,29.7,69.66
Hillingdon,20.8,56.37
Hounslow,14.1,48.94
Islington,42.6,24.78
Kensington and Chelsea,19.2,31.31
Kingston upon Thames,28.8,38.39
Lambeth,38.8,21.38
Lewisham,37.2,30.14
Merton,30.3,37.06
Newham,10.6,47.16
Redbridge,14,46.03
Richmond upon Thames,35.2,30.71
Southwark,35.5,27.19
Sutton,26.8,53.72
Tower Hamlets,24,32.54
Waltham Forest,22.5,40.9
Wandsworth,35.5,24.97
Westminster,29.5,31.03
