Area,No_sport,LeavePct
City of London,0.619,24.71
Barking and Dagenham,0.67,62.44
Barnet,0.493,37.77
Bexley,0.542,62.95
Brent,0.572,40.26
Bromley,0.474,49.35
Camden,0.357,25.06
Croydon,0.5,45.71
Ealing,0.514,39.6
Enfield,0.6,44.18
Greenwich,0.493,44.41
Hackney,0.502,21.52
Hammersmith and Fulham,0.438,29.98
Haringey,0.453,24.43
Harrow,0.573,45.37
Havering,0.543,69.66
Hillingdon,0.58,56.37
Hounslow,0.542,48.94
Islington,0.456,24.78
Kensington and Chelsea,0.428,31.31
Kingston upon Thames,0.435,38.39
Lambeth,0.443,21.38
Lewisham,0.52,30.14
Merton,0.475,37.06
Newham,0.593,47.16
Redbridge,0.54,46.03
Richmond upon Thames,0.418,30.71
Southwark,0.545,27.19
Sutton,0.521,53.72
Tower Hamlets,0.495,32.54
Waltham Forest,0.501,40.9
Wandsworth,0.462,24.97
Westminster,0.441,31.03
