,LeavePct,Production Managers and Directors
Darlington,56.18,978
Northumberland,54.11,3712
Sunderland,61.34,1349
Manchester,39.64,3023
Blackburn with Darwen,56.34,946
Blackpool,67.46,0
Warrington,54.27,1585
Cheshire East,51.18,2648
Cheshire West and Chester,50.68,5039
Liverpool,41.81,1434
Sefton,48.13,1749
Wirral,48.3,1727
"Kingston upon Hull, City of",67.62,1563
East Riding of Yorkshire,60.4,3523
York,41.96,2458
Sheffield,50.99,2735
Bradford,54.23,4549
Leeds,49.69,5475
Wakefield,66.36,2398
Derby,57.22,3160
Nottingham,50.84,895
Leicester,48.92,2292
"Herefordshire, County of",59.22,2082
Telford and Wrekin,63.22,1577
Stoke-on-Trent,69.36,2439
Birmingham,50.42,6903
Solihull,56.16,1833
Coventry,55.6,951
Dudley,67.6,3114
Sandwell,66.72,1393
Walsall,67.86,2377
Wolverhampton,62.57,2150
Luton,56.55,1044
Bedford,51.78,0
Central Bedfordshire,56.13,4640
Southend-on-Sea,58.08,1369
Thurrock,72.28,990
Westminster,31.03,887
Wandsworth,24.97,2502
Tower Hamlets,32.54,0
Lambeth,21.38,2668
Enfield,44.18,0
Bromley,49.35,0
Croydon,45.71,3212
Barnet,37.77,0
Brent,40.26,2141
Ealing,39.6,4319
Milton Keynes,51.41,1555
Brighton and Hove,31.38,1514
Portsmouth,58.08,1727
Southampton,53.8,1923
Isle of Wight,61.95,1123
Medway,64.08,2305
"Bristol, City of",38.27,3305
Swindon,54.66,1295
Wiltshire,52.49,5969
Plymouth,59.94,1905
Torbay,63.16,426
Isle of Anglesey,50.94,433
Gwynedd,41.95,937
Swansea,51.51,1775
Powys,53.74,347
Scottish Borders,41.53,904
Falkirk,43.24,1142
West Lothian,41.75,1762
Glasgow City,33.41,2297
North Lanarkshire,38.34,1502
South Ayrshire,41.04,299
South Lanarkshire,36.92,3347
Orkney Islands,36.84,392
Shetland Islands,43.49,0
