,LeavePct,Public Services and Other Associate Professionals
Darlington,56.18,975
Northumberland,54.11,1016
Sunderland,61.34,2447
Manchester,39.64,4677
Blackburn with Darwen,56.34,1130
Blackpool,67.46,1268
Warrington,54.27,1367
Cheshire East,51.18,3256
Cheshire West and Chester,50.68,2620
Liverpool,41.81,2169
Sefton,48.13,3020
Wirral,48.3,2572
"Kingston upon Hull, City of",67.62,998
East Riding of Yorkshire,60.4,4181
York,41.96,1821
Sheffield,50.99,5390
Bradford,54.23,2273
Leeds,49.69,9093
Wakefield,66.36,1859
Derby,57.22,2316
Nottingham,50.84,2026
Leicester,48.92,2912
"Herefordshire, County of",59.22,1420
Telford and Wrekin,63.22,1576
Stoke-on-Trent,69.36,1373
Birmingham,50.42,7418
Solihull,56.16,1972
Coventry,55.6,2604
Dudley,67.6,2538
Sandwell,66.72,1416
Walsall,67.86,1700
Wolverhampton,62.57,1051
Luton,56.55,1102
Bedford,51.78,1943
Central Bedfordshire,56.13,1557
Southend-on-Sea,58.08,1424
Thurrock,72.28,1485
Westminster,31.03,1732
Wandsworth,24.97,3011
Tower Hamlets,32.54,955
Lambeth,21.38,2417
Enfield,44.18,2931
Bromley,49.35,3492
Croydon,45.71,2791
Barnet,37.77,5517
Brent,40.26,1289
Ealing,39.6,4234
Milton Keynes,51.41,2390
Brighton and Hove,31.38,1891
Portsmouth,58.08,2360
Southampton,53.8,2050
Isle of Wight,61.95,624
Medway,64.08,1674
"Bristol, City of",38.27,5362
Swindon,54.66,1489
Wiltshire,52.49,3379
Plymouth,59.94,1794
Torbay,63.16,606
Isle of Anglesey,50.94,230
Gwynedd,41.95,1025
Swansea,51.51,2289
Powys,53.74,1299
Scottish Borders,41.53,469
Falkirk,43.24,1490
West Lothian,41.75,1588
Glasgow City,33.41,1966
North Lanarkshire,38.34,2307
South Ayrshire,41.04,1304
South Lanarkshire,36.92,2549
Orkney Islands,36.84,0
Shetland Islands,43.49,447
