,LeavePct,Quality and Regulatory Professionals
Darlington,56.18,0
Northumberland,54.11,555
Sunderland,61.34,0
Manchester,39.64,1079
Blackburn with Darwen,56.34,229
Blackpool,67.46,0
Warrington,54.27,609
Cheshire East,51.18,1373
Cheshire West and Chester,50.68,0
Liverpool,41.81,1110
Sefton,48.13,0
Wirral,48.3,0
"Kingston upon Hull, City of",67.62,0
East Riding of Yorkshire,60.4,726
York,41.96,637
Sheffield,50.99,1435
Bradford,54.23,0
Leeds,49.69,1367
Wakefield,66.36,0
Derby,57.22,1006
Nottingham,50.84,779
Leicester,48.92,0
"Herefordshire, County of",59.22,389
Telford and Wrekin,63.22,449
Stoke-on-Trent,69.36,624
Birmingham,50.42,0
Solihull,56.16,0
Coventry,55.6,0
Dudley,67.6,1087
Sandwell,66.72,0
Walsall,67.86,482
Wolverhampton,62.57,443
Luton,56.55,610
Bedford,51.78,0
Central Bedfordshire,56.13,0
Southend-on-Sea,58.08,0
Thurrock,72.28,923
Westminster,31.03,806
Wandsworth,24.97,0
Tower Hamlets,32.54,1303
Lambeth,21.38,0
Enfield,44.18,0
Bromley,49.35,1488
Croydon,45.71,1640
Barnet,37.77,0
Brent,40.26,0
Ealing,39.6,0
Milton Keynes,51.41,691
Brighton and Hove,31.38,642
Portsmouth,58.08,555
Southampton,53.8,0
Isle of Wight,61.95,255
Medway,64.08,794
"Bristol, City of",38.27,0
Swindon,54.66,828
Wiltshire,52.49,1121
Plymouth,59.94,0
Torbay,63.16,281
Isle of Anglesey,50.94,0
Gwynedd,41.95,0
Swansea,51.51,0
Powys,53.74,0
Scottish Borders,41.53,0
Falkirk,43.24,0
West Lothian,41.75,597
Glasgow City,33.41,1709
North Lanarkshire,38.34,997
South Ayrshire,41.04,215
South Lanarkshire,36.92,1087
Orkney Islands,36.84,0
Shetland Islands,43.49,0
