,LeavePct,Road Transport Drivers
Darlington,56.18,1638
Northumberland,54.11,3969
Sunderland,61.34,2986
Manchester,39.64,7522
Blackburn with Darwen,56.34,1326
Blackpool,67.46,1685
Warrington,54.27,2441
Cheshire East,51.18,4909
Cheshire West and Chester,50.68,5517
Liverpool,41.81,7783
Sefton,48.13,1541
Wirral,48.3,4973
"Kingston upon Hull, City of",67.62,3463
East Riding of Yorkshire,60.4,4714
York,41.96,2499
Sheffield,50.99,6959
Bradford,54.23,9548
Leeds,49.69,10812
Wakefield,66.36,5317
Derby,57.22,3167
Nottingham,50.84,6460
Leicester,48.92,4675
"Herefordshire, County of",59.22,1518
Telford and Wrekin,63.22,2243
Stoke-on-Trent,69.36,5296
Birmingham,50.42,13273
Solihull,56.16,1793
Coventry,55.6,4921
Dudley,67.6,4442
Sandwell,66.72,5687
Walsall,67.86,4394
Wolverhampton,62.57,4834
Luton,56.55,4872
Bedford,51.78,2445
Central Bedfordshire,56.13,2697
Southend-on-Sea,58.08,3451
Thurrock,72.28,4483
Westminster,31.03,2791
Wandsworth,24.97,3905
Tower Hamlets,32.54,4600
Lambeth,21.38,1247
Enfield,44.18,7138
Bromley,49.35,3956
Croydon,45.71,4705
Barnet,37.77,4650
Brent,40.26,5521
Ealing,39.6,6098
Milton Keynes,51.41,5145
Brighton and Hove,31.38,1398
Portsmouth,58.08,1913
Southampton,53.8,4268
Isle of Wight,61.95,1176
Medway,64.08,6005
"Bristol, City of",38.27,5489
Swindon,54.66,2414
Wiltshire,52.49,5340
Plymouth,59.94,3823
Torbay,63.16,1968
Isle of Anglesey,50.94,963
Gwynedd,41.95,1308
Swansea,51.51,1712
Powys,53.74,1260
Scottish Borders,41.53,1258
Falkirk,43.24,3255
West Lothian,41.75,2981
Glasgow City,33.41,6595
North Lanarkshire,38.34,6112
South Ayrshire,41.04,1086
South Lanarkshire,36.92,6599
Orkney Islands,36.84,0
Shetland Islands,43.49,335
