,LeavePct,Sales Related Occupations
Darlington,56.18,181
Northumberland,54.11,542
Sunderland,61.34,685
Manchester,39.64,1843
Blackburn with Darwen,56.34,338
Blackpool,67.46,290
Warrington,54.27,0
Cheshire East,51.18,0
Cheshire West and Chester,50.68,0
Liverpool,41.81,1578
Sefton,48.13,703
Wirral,48.3,653
"Kingston upon Hull, City of",67.62,0
East Riding of Yorkshire,60.4,0
York,41.96,509
Sheffield,50.99,0
Bradford,54.23,0
Leeds,49.69,1886
Wakefield,66.36,539
Derby,57.22,0
Nottingham,50.84,701
Leicester,48.92,1374
"Herefordshire, County of",59.22,650
Telford and Wrekin,63.22,355
Stoke-on-Trent,69.36,700
Birmingham,50.42,2608
Solihull,56.16,0
Coventry,55.6,1081
Dudley,67.6,1071
Sandwell,66.72,705
Walsall,67.86,1405
Wolverhampton,62.57,1077
Luton,56.55,437
Bedford,51.78,0
Central Bedfordshire,56.13,0
Southend-on-Sea,58.08,383
Thurrock,72.28,564
Westminster,31.03,0
Wandsworth,24.97,1708
Tower Hamlets,32.54,779
Lambeth,21.38,0
Enfield,44.18,1037
Bromley,49.35,0
Croydon,45.71,1739
Barnet,37.77,0
Brent,40.26,810
Ealing,39.6,0
Milton Keynes,51.41,728
Brighton and Hove,31.38,1272
Portsmouth,58.08,749
Southampton,53.8,750
Isle of Wight,61.95,317
Medway,64.08,720
"Bristol, City of",38.27,1158
Swindon,54.66,379
Wiltshire,52.49,620
Plymouth,59.94,644
Torbay,63.16,0
Isle of Anglesey,50.94,175
Gwynedd,41.95,230
Swansea,51.51,927
Powys,53.74,0
Scottish Borders,41.53,0
Falkirk,43.24,298
West Lothian,41.75,345
Glasgow City,33.41,2802
North Lanarkshire,38.34,1335
South Ayrshire,41.04,222
South Lanarkshire,36.92,1580
Orkney Islands,36.84,0
Shetland Islands,43.49,0
