,LeavePct,"Sales, Marketing and Related Associate Professionals"
Darlington,56.18,1176
Northumberland,54.11,2366
Sunderland,61.34,1685
Manchester,39.64,7999
Blackburn with Darwen,56.34,1115
Blackpool,67.46,724
Warrington,54.27,3827
Cheshire East,51.18,6964
Cheshire West and Chester,50.68,6431
Liverpool,41.81,4693
Sefton,48.13,2062
Wirral,48.3,2918
"Kingston upon Hull, City of",67.62,1462
East Riding of Yorkshire,60.4,3651
York,41.96,3953
Sheffield,50.99,5239
Bradford,54.23,9249
Leeds,49.69,16345
Wakefield,66.36,3985
Derby,57.22,3864
Nottingham,50.84,4715
Leicester,48.92,3131
"Herefordshire, County of",59.22,2793
Telford and Wrekin,63.22,2469
Stoke-on-Trent,69.36,1632
Birmingham,50.42,14437
Solihull,56.16,2413
Coventry,55.6,3935
Dudley,67.6,2661
Sandwell,66.72,2783
Walsall,67.86,3458
Wolverhampton,62.57,2159
Luton,56.55,2525
Bedford,51.78,1852
Central Bedfordshire,56.13,6248
Southend-on-Sea,58.08,1812
Thurrock,72.28,1761
Westminster,31.03,8707
Wandsworth,24.97,9570
Tower Hamlets,32.54,6768
Lambeth,21.38,13201
Enfield,44.18,4238
Bromley,49.35,7554
Croydon,45.71,8149
Barnet,37.77,6808
Brent,40.26,6939
Ealing,39.6,6116
Milton Keynes,51.41,5919
Brighton and Hove,31.38,5240
Portsmouth,58.08,3395
Southampton,53.8,5579
Isle of Wight,61.95,911
Medway,64.08,2820
"Bristol, City of",38.27,5915
Swindon,54.66,4249
Wiltshire,52.49,6481
Plymouth,59.94,978
Torbay,63.16,1434
Isle of Anglesey,50.94,532
Gwynedd,41.95,285
Swansea,51.51,2101
Powys,53.74,1626
Scottish Borders,41.53,814
Falkirk,43.24,2131
West Lothian,41.75,1554
Glasgow City,33.41,9202
North Lanarkshire,38.34,2687
South Ayrshire,41.04,1071
South Lanarkshire,36.92,4143
Orkney Islands,36.84,0
Shetland Islands,43.49,362
