,LeavePct,"Science, Engineering and Production Technicians"
Darlington,56.18,428
Northumberland,54.11,1091
Sunderland,61.34,1322
Manchester,39.64,0
Blackburn with Darwen,56.34,353
Blackpool,67.46,708
Warrington,54.27,1412
Cheshire East,51.18,0
Cheshire West and Chester,50.68,2152
Liverpool,41.81,0
Sefton,48.13,1052
Wirral,48.3,1160
"Kingston upon Hull, City of",67.62,1266
East Riding of Yorkshire,60.4,2079
York,41.96,451
Sheffield,50.99,2369
Bradford,54.23,2109
Leeds,49.69,4308
Wakefield,66.36,1931
Derby,57.22,1587
Nottingham,50.84,1491
Leicester,48.92,1452
"Herefordshire, County of",59.22,1284
Telford and Wrekin,63.22,1072
Stoke-on-Trent,69.36,1090
Birmingham,50.42,1719
Solihull,56.16,0
Coventry,55.6,1632
Dudley,67.6,1226
Sandwell,66.72,861
Walsall,67.86,760
Wolverhampton,62.57,517
Luton,56.55,989
Bedford,51.78,0
Central Bedfordshire,56.13,1799
Southend-on-Sea,58.08,980
Thurrock,72.28,951
Westminster,31.03,0
Wandsworth,24.97,0
Tower Hamlets,32.54,0
Lambeth,21.38,0
Enfield,44.18,0
Bromley,49.35,1777
Croydon,45.71,1696
Barnet,37.77,0
Brent,40.26,0
Ealing,39.6,812
Milton Keynes,51.41,1412
Brighton and Hove,31.38,0
Portsmouth,58.08,773
Southampton,53.8,2056
Isle of Wight,61.95,451
Medway,64.08,803
"Bristol, City of",38.27,1460
Swindon,54.66,1313
Wiltshire,52.49,3929
Plymouth,59.94,1593
Torbay,63.16,505
Isle of Anglesey,50.94,451
Gwynedd,41.95,359
Swansea,51.51,0
Powys,53.74,259
Scottish Borders,41.53,796
Falkirk,43.24,1720
West Lothian,41.75,398
Glasgow City,33.41,1638
North Lanarkshire,38.34,741
South Ayrshire,41.04,387
South Lanarkshire,36.92,1630
Orkney Islands,36.84,0
Shetland Islands,43.49,0
