,LeavePct,Teaching and Educational Professionals
Darlington,56.18,2242
Northumberland,54.11,5631
Sunderland,61.34,5107
Manchester,39.64,13957
Blackburn with Darwen,56.34,3696
Blackpool,67.46,1742
Warrington,54.27,3930
Cheshire East,51.18,10289
Cheshire West and Chester,50.68,7728
Liverpool,41.81,13852
Sefton,48.13,8007
Wirral,48.3,8891
"Kingston upon Hull, City of",67.62,5089
East Riding of Yorkshire,60.4,9527
York,41.96,7224
Sheffield,50.99,18421
Bradford,54.23,8433
Leeds,49.69,21604
Wakefield,66.36,3862
Derby,57.22,4244
Nottingham,50.84,6501
Leicester,48.92,5777
"Herefordshire, County of",59.22,3447
Telford and Wrekin,63.22,3232
Stoke-on-Trent,69.36,4133
Birmingham,50.42,31624
Solihull,56.16,5722
Coventry,55.6,7126
Dudley,67.6,6893
Sandwell,66.72,5396
Walsall,67.86,4733
Wolverhampton,62.57,3579
Luton,56.55,4122
Bedford,51.78,4807
Central Bedfordshire,56.13,8403
Southend-on-Sea,58.08,4717
Thurrock,72.28,2190
Westminster,31.03,5374
Wandsworth,24.97,10638
Tower Hamlets,32.54,4709
Lambeth,21.38,5803
Enfield,44.18,7952
Bromley,49.35,7705
Croydon,45.71,9667
Barnet,37.77,9416
Brent,40.26,6400
Ealing,39.6,6682
Milton Keynes,51.41,6471
Brighton and Hove,31.38,11731
Portsmouth,58.08,7007
Southampton,53.8,6793
Isle of Wight,61.95,2546
Medway,64.08,4728
"Bristol, City of",38.27,13126
Swindon,54.66,3377
Wiltshire,52.49,8739
Plymouth,59.94,4297
Torbay,63.16,2562
Isle of Anglesey,50.94,2464
Gwynedd,41.95,2328
Swansea,51.51,5097
Powys,53.74,3081
Scottish Borders,41.53,2118
Falkirk,43.24,2562
West Lothian,41.75,2654
Glasgow City,33.41,18761
North Lanarkshire,38.34,4918
South Ayrshire,41.04,2122
South Lanarkshire,36.92,5023
Orkney Islands,36.84,0
Shetland Islands,43.49,794
