,LeavePct,Total
Darlington,56.18,47865
Northumberland,54.11,144605
Sunderland,61.34,117746
Manchester,39.64,235177
Blackburn with Darwen,56.34,60134
Blackpool,67.46,62133
Warrington,54.27,102969
Cheshire East,51.18,180274
Cheshire West and Chester,50.68,155566
Liverpool,41.81,200783
Sefton,48.13,125507
Wirral,48.3,139751
"Kingston upon Hull, City of",67.62,113869
East Riding of Yorkshire,60.4,159196
York,41.96,106705
Sheffield,50.99,263232
Bradford,54.23,221805
Leeds,49.69,390105
Wakefield,66.36,147607
Derby,57.22,118654
Nottingham,50.84,139309
Leicester,48.92,146259
"Herefordshire, County of",59.22,91114
Telford and Wrekin,63.22,80345
Stoke-on-Trent,69.36,109061
Birmingham,50.42,439500
Solihull,56.16,93113
Coventry,55.6,149392
Dudley,67.6,139163
Sandwell,66.72,134788
Walsall,67.86,109350
Wolverhampton,62.57,104356
Luton,56.55,96531
Bedford,51.78,81727
Central Bedfordshire,56.13,143441
Southend-on-Sea,58.08,87062
Thurrock,72.28,78826
Westminster,31.03,117786
Wandsworth,24.97,182729
Tower Hamlets,32.54,154071
Lambeth,21.38,192528
Enfield,44.18,155725
Bromley,49.35,158503
Croydon,45.71,190848
Barnet,37.77,178043
Brent,40.26,156703
Ealing,39.6,169751
Milton Keynes,51.41,130271
Brighton and Hove,31.38,146281
Portsmouth,58.08,101020
Southampton,53.8,133230
Isle of Wight,61.95,59105
Medway,64.08,127782
"Bristol, City of",38.27,236809
Swindon,54.66,110911
Wiltshire,52.49,240747
Plymouth,59.94,126206
Torbay,63.16,58331
Isle of Anglesey,50.94,31744
Gwynedd,41.95,54397
Swansea,51.51,107986
Powys,53.74,63744
Scottish Borders,41.53,54422
Falkirk,43.24,76063
West Lothian,41.75,85734
Glasgow City,33.41,279826
North Lanarkshire,38.34,159971
South Ayrshire,41.04,51106
South Lanarkshire,36.92,157871
Orkney Islands,36.84,11753
Shetland Islands,43.49,13090
