,LeavePct,Vehicle Trades
Darlington,56.18,564
Northumberland,54.11,945
Sunderland,61.34,1769
Manchester,39.64,821
Blackburn with Darwen,56.34,603
Blackpool,67.46,920
Warrington,54.27,417
Cheshire East,51.18,2636
Cheshire West and Chester,50.68,1958
Liverpool,41.81,0
Sefton,48.13,2066
Wirral,48.3,1270
"Kingston upon Hull, City of",67.62,1520
East Riding of Yorkshire,60.4,1139
York,41.96,580
Sheffield,50.99,0
Bradford,54.23,1939
Leeds,49.69,1714
Wakefield,66.36,940
Derby,57.22,1602
Nottingham,50.84,513
Leicester,48.92,0
"Herefordshire, County of",59.22,1050
Telford and Wrekin,63.22,898
Stoke-on-Trent,69.36,1473
Birmingham,50.42,3082
Solihull,56.16,713
Coventry,55.6,2698
Dudley,67.6,1675
Sandwell,66.72,1513
Walsall,67.86,1356
Wolverhampton,62.57,804
Luton,56.55,1882
Bedford,51.78,0
Central Bedfordshire,56.13,0
Southend-on-Sea,58.08,1034
Thurrock,72.28,1273
Westminster,31.03,0
Wandsworth,24.97,0
Tower Hamlets,32.54,0
Lambeth,21.38,0
Enfield,44.18,0
Bromley,49.35,1090
Croydon,45.71,0
Barnet,37.77,0
Brent,40.26,0
Ealing,39.6,0
Milton Keynes,51.41,936
Brighton and Hove,31.38,0
Portsmouth,58.08,978
Southampton,53.8,1618
Isle of Wight,61.95,1111
Medway,64.08,1605
"Bristol, City of",38.27,1375
Swindon,54.66,532
Wiltshire,52.49,1672
Plymouth,59.94,595
Torbay,63.16,710
Isle of Anglesey,50.94,351
Gwynedd,41.95,347
Swansea,51.51,1212
Powys,53.74,483
Scottish Borders,41.53,264
Falkirk,43.24,899
West Lothian,41.75,668
Glasgow City,33.41,0
North Lanarkshire,38.34,2280
South Ayrshire,41.04,529
South Lanarkshire,36.92,2920
Orkney Islands,36.84,0
Shetland Islands,43.49,558
