,LeavePct,Welfare Professionals
Darlington,56.18,0
Northumberland,54.11,1553
Sunderland,61.34,708
Manchester,39.64,1890
Blackburn with Darwen,56.34,511
Blackpool,67.46,878
Warrington,54.27,0
Cheshire East,51.18,0
Cheshire West and Chester,50.68,0
Liverpool,41.81,1847
Sefton,48.13,0
Wirral,48.3,917
"Kingston upon Hull, City of",67.62,824
East Riding of Yorkshire,60.4,0
York,41.96,509
Sheffield,50.99,1499
Bradford,54.23,970
Leeds,49.69,3335
Wakefield,66.36,548
Derby,57.22,0
Nottingham,50.84,620
Leicester,48.92,1688
"Herefordshire, County of",59.22,298
Telford and Wrekin,63.22,0
Stoke-on-Trent,69.36,0
Birmingham,50.42,2675
Solihull,56.16,382
Coventry,55.6,0
Dudley,67.6,908
Sandwell,66.72,0
Walsall,67.86,631
Wolverhampton,62.57,679
Luton,56.55,0
Bedford,51.78,0
Central Bedfordshire,56.13,1278
Southend-on-Sea,58.08,466
Thurrock,72.28,599
Westminster,31.03,0
Wandsworth,24.97,0
Tower Hamlets,32.54,0
Lambeth,21.38,0
Enfield,44.18,1817
Bromley,49.35,2516
Croydon,45.71,1243
Barnet,37.77,0
Brent,40.26,0
Ealing,39.6,1741
Milton Keynes,51.41,0
Brighton and Hove,31.38,939
Portsmouth,58.08,399
Southampton,53.8,605
Isle of Wight,61.95,345
Medway,64.08,0
"Bristol, City of",38.27,1917
Swindon,54.66,360
Wiltshire,52.49,0
Plymouth,59.94,481
Torbay,63.16,0
Isle of Anglesey,50.94,113
Gwynedd,41.95,956
Swansea,51.51,953
Powys,53.74,317
Scottish Borders,41.53,450
Falkirk,43.24,573
West Lothian,41.75,401
Glasgow City,33.41,2720
North Lanarkshire,38.34,1584
South Ayrshire,41.04,359
South Lanarkshire,36.92,0
Orkney Islands,36.84,181
Shetland Islands,43.49,0
