Region name,LeavePct,"2015(Gross Value Added (Balanced)1,2  per head of population at current basic prices)"
Barnet,37.77,25769
Bedford,51.78,23653
Birmingham,50.42,22366
Blackburn with Darwen,56.34,18769
Blackpool,67.46,16119
Bradford,54.23,18219
Brent,40.26,25170
Brighton and Hove,31.38,26066
"Bristol, City of",38.27,30639
Bromley,49.35,21856
Central Bedfordshire,56.13,19898
Cheshire East,51.18,32505
Cheshire West and Chester,50.68,27653
City of Edinburgh,25.56,40933
Coventry,55.6,24016
Croydon,45.71,19463
Darlington,56.18,26164
Derby,57.22,26168
Dudley,67.6,15479
Dumfries and Galloway,46.94,16194
Ealing,39.6,26254
East Riding of Yorkshire,60.4,18015
Enfield,44.18,18501
Falkirk,43.24,20939
Glasgow City,33.41,30131
Gwynedd,41.95,18810
"Herefordshire, County of",59.22,19631
Isle of Anglesey,50.94,13558
Isle of Wight,61.95,19306
"Kingston upon Hull, City of",67.62,20020
Lambeth,21.38,34762
Leeds,49.69,28166
Leicester,48.92,22376
Liverpool,41.81,23818
Luton,56.55,23480
Manchester,39.64,33148
Medway,64.08,18311
Milton Keynes,51.41,43841
North Lanarkshire,38.34,17620
Northumberland,54.11,15893
Nottingham,50.84,27447
Orkney Islands,36.84,22871
Plymouth,59.94,19002
Portsmouth,58.08,25529
Powys,53.74,17390
Sandwell,66.72,17945
Scottish Borders,41.53,15280
Sefton,48.13,15399
Sheffield,50.99,20096
Shetland Islands,43.49,32865
Solihull,56.16,32349
South Ayrshire,41.04,17797
South Lanarkshire,36.92,15704
Southampton,53.8,26116
Southend-on-Sea,58.08,17070
Stoke-on-Trent,69.36,19892
Sunderland,61.34,21199
Swansea,51.51,18606
Swindon,54.66,31582
Telford and Wrekin,63.22,21724
Thurrock,72.28,19537
Torbay,63.16,15108
Tower Hamlets,32.54,92738
Wakefield,66.36,20399
Walsall,67.86,16895
Wandsworth,24.97,39176
Warrington,54.27,30085
West Lothian,41.75,22171
Westminster,31.03,234546
Wiltshire,52.49,21593
Wirral,48.3,14930
Wolverhampton,62.57,17749
York,41.96,23649
